date,HDD,CDD,Total_Degree_Days,HDD_MA7,CDD_MA7,Total_DD_MA7,Total_DD_MA30,Weather_Shock
2011-01-25,30,0,30,30.571428571428573,0.0,30.571428571428573,30.533333333333335,-0.533333333333335
2011-01-26,28,0,28,29.857142857142858,0.0,29.857142857142858,30.433333333333334,-2.4333333333333336
2011-01-27,27,0,27,30.0,0.0,30.0,30.166666666666668,-3.166666666666668
2011-01-28,26,0,26,30.0,0.0,30.0,29.9,-3.8999999999999986
2011-01-31,30,0,30,30.0,0.0,30.0,29.866666666666667,0.13333333333333286
2011-02-01,31,0,31,29.571428571428573,0.0,29.571428571428573,29.866666666666667,1.1333333333333329
2011-02-02,33,0,33,29.285714285714285,0.0,29.285714285714285,30.0,3.0
2011-02-03,37,0,37,30.285714285714285,0.0,30.285714285714285,30.366666666666667,6.633333333333333
2011-02-04,34,0,34,31.142857142857142,0.0,31.142857142857142,30.666666666666668,3.333333333333332
2011-02-07,26,0,26,31.0,0.0,31.0,30.633333333333333,-4.633333333333333
2011-02-08,32,0,32,31.857142857142858,0.0,31.857142857142858,30.566666666666666,1.4333333333333336
2011-02-09,37,0,37,32.857142857142854,0.0,32.857142857142854,30.766666666666666,6.233333333333334
2011-02-10,38,0,38,33.857142857142854,0.0,33.857142857142854,31.1,6.899999999999999
2011-02-11,35,0,35,34.142857142857146,0.0,34.142857142857146,31.4,3.6000000000000014
2011-02-14,19,0,19,31.571428571428573,0.0,31.571428571428573,31.266666666666666,-12.266666666666666
2011-02-15,23,0,23,30.0,0.0,30.0,31.0,-8.0
2011-02-16,20,0,20,29.142857142857142,0.0,29.142857142857142,30.666666666666668,-10.666666666666668
2011-02-17,16,0,16,26.857142857142858,0.0,26.857142857142858,30.233333333333334,-14.233333333333334
2011-02-18,14,0,14,23.571428571428573,0.0,23.571428571428573,29.733333333333334,-15.733333333333334
2011-02-22,26,0,26,21.857142857142858,0.0,21.857142857142858,29.6,-3.6000000000000014
2011-02-23,26,0,26,20.571428571428573,0.0,20.571428571428573,29.266666666666666,-3.2666666666666657
2011-02-24,24,1,25,21.285714285714285,0.14285714285714285,21.428571428571427,28.9,-3.8999999999999986
2011-02-25,24,0,24,21.428571428571427,0.14285714285714285,21.571428571428573,28.533333333333335,-4.533333333333335
2011-02-28,19,1,20,21.285714285714285,0.2857142857142857,21.571428571428573,28.033333333333335,-8.033333333333335
2011-03-01,22,0,22,22.142857142857142,0.2857142857142857,22.428571428571427,27.666666666666668,-5.666666666666668
2011-03-02,22,0,22,23.285714285714285,0.2857142857142857,23.571428571428573,27.533333333333335,-5.533333333333335
2011-03-03,23,0,23,22.857142857142858,0.2857142857142857,23.142857142857142,27.433333333333334,-4.433333333333334
2011-03-04,20,0,20,22.0,0.2857142857142857,22.285714285714285,27.1,-7.100000000000001
2011-03-07,23,0,23,21.857142857142858,0.14285714285714285,22.0,26.733333333333334,-3.7333333333333343
2011-03-08,21,0,21,21.428571428571427,0.14285714285714285,21.571428571428573,26.266666666666666,-5.266666666666666
2011-03-09,19,0,19,21.428571428571427,0.0,21.428571428571427,25.9,-6.899999999999999
2011-03-10,18,0,18,20.857142857142858,0.0,20.857142857142858,25.566666666666666,-7.566666666666666
2011-03-11,19,0,19,20.428571428571427,0.0,20.428571428571427,25.3,-6.300000000000001
2011-03-14,18,0,18,19.714285714285715,0.0,19.714285714285715,25.033333333333335,-7.033333333333335
2011-03-15,18,0,18,19.428571428571427,0.0,19.428571428571427,24.633333333333333,-6.633333333333333
2011-03-16,15,0,15,18.285714285714285,0.0,18.285714285714285,24.1,-9.100000000000001
2011-03-17,11,1,12,16.857142857142858,0.14285714285714285,17.0,23.4,-11.399999999999999
2011-03-18,10,1,11,15.571428571428571,0.2857142857142857,15.857142857142858,22.533333333333335,-11.533333333333335
2011-03-21,13,1,14,14.857142857142858,0.42857142857142855,15.285714285714286,21.866666666666667,-7.866666666666667
2011-03-22,13,1,14,14.0,0.5714285714285714,14.571428571428571,21.466666666666665,-7.466666666666665
2011-03-23,16,1,17,13.714285714285714,0.7142857142857143,14.428571428571429,20.966666666666665,-3.966666666666665
2011-03-24,20,1,21,14.0,0.8571428571428571,14.857142857142858,20.433333333333334,0.5666666666666664
2011-03-25,22,1,23,15.0,1.0,16.0,19.933333333333334,3.0666666666666664
2011-03-28,22,0,22,16.571428571428573,0.8571428571428571,17.428571428571427,19.5,2.5
2011-03-29,20,1,21,18.0,0.8571428571428571,18.857142857142858,19.566666666666666,1.4333333333333336
2011-03-30,19,1,20,18.857142857142858,0.8571428571428571,19.714285714285715,19.466666666666665,0.533333333333335
2011-03-31,17,1,18,19.428571428571427,0.8571428571428571,20.285714285714285,19.4,-1.3999999999999986
2011-04-01,16,1,17,19.428571428571427,0.8571428571428571,20.285714285714285,19.433333333333334,-2.4333333333333336
2011-04-04,10,1,11,18.0,0.8571428571428571,18.857142857142858,19.333333333333332,-8.333333333333332
2011-04-05,13,1,14,16.714285714285715,0.8571428571428571,17.571428571428573,18.933333333333334,-4.933333333333334
2011-04-06,14,0,14,15.571428571428571,0.8571428571428571,16.428571428571427,18.533333333333335,-4.533333333333335
2011-04-07,13,1,14,14.571428571428571,0.8571428571428571,15.428571428571429,18.166666666666668,-4.166666666666668
2011-04-08,13,2,15,13.714285714285714,1.0,14.714285714285714,17.866666666666667,-2.866666666666667
2011-04-11,6,3,9,12.142857142857142,1.2857142857142858,13.428571428571429,17.5,-8.5
2011-04-12,9,1,10,11.142857142857142,1.2857142857142858,12.428571428571429,17.1,-7.100000000000001
2011-04-13,11,1,12,11.285714285714286,1.2857142857142858,12.571428571428571,16.766666666666666,-4.766666666666666
2011-04-14,10,1,11,10.857142857142858,1.2857142857142858,12.142857142857142,16.366666666666667,-5.366666666666667
2011-04-15,12,1,13,10.571428571428571,1.4285714285714286,12.0,16.133333333333333,-3.133333333333333
2011-04-18,11,1,12,10.285714285714286,1.4285714285714286,11.714285714285714,15.766666666666667,-3.7666666666666675
2011-04-19,10,3,13,9.857142857142858,1.5714285714285714,11.428571428571429,15.5,-2.5
2011-04-20,10,3,13,10.428571428571429,1.5714285714285714,12.0,15.3,-2.3000000000000007
2011-04-21,11,2,13,10.714285714285714,1.7142857142857142,12.428571428571429,15.133333333333333,-2.133333333333333
2011-04-25,6,3,9,10.0,2.0,12.0,14.8,-5.800000000000001
2011-04-26,5,3,8,9.285714285714286,2.2857142857142856,11.571428571428571,14.466666666666667,-6.466666666666667
2011-04-27,5,4,9,8.285714285714286,2.7142857142857144,11.0,14.166666666666666,-5.166666666666666
2011-04-28,7,2,9,7.714285714285714,2.857142857142857,10.571428571428571,13.966666666666667,-4.966666666666667
2011-04-29,8,1,9,7.428571428571429,2.5714285714285716,10.0,13.866666666666667,-4.866666666666667
2011-05-02,9,2,11,7.285714285714286,2.4285714285714284,9.714285714285714,13.866666666666667,-2.866666666666667
2011-05-03,8,2,10,6.857142857142857,2.4285714285714284,9.285714285714286,13.733333333333333,-3.7333333333333325
2011-05-04,10,1,11,7.428571428571429,2.142857142857143,9.571428571428571,13.633333333333333,-2.633333333333333
2011-05-05,9,1,10,8.0,1.8571428571428572,9.857142857142858,13.4,-3.4000000000000004
2011-05-06,7,1,8,8.285714285714286,1.4285714285714286,9.714285714285714,12.966666666666667,-4.966666666666667
2011-05-09,5,4,9,8.0,1.7142857142857142,9.714285714285714,12.5,-3.5
2011-05-10,4,5,9,7.428571428571429,2.2857142857142856,9.714285714285714,12.066666666666666,-3.0666666666666664
2011-05-11,4,5,9,6.714285714285714,2.7142857142857144,9.428571428571429,11.666666666666666,-2.666666666666666
2011-05-12,3,5,8,6.0,3.142857142857143,9.142857142857142,11.266666666666667,-3.2666666666666675
2011-05-13,4,4,8,5.142857142857143,3.5714285714285716,8.714285714285714,10.933333333333334,-2.9333333333333336
2011-05-16,9,1,10,5.142857142857143,3.5714285714285716,8.714285714285714,10.7,-0.6999999999999993
2011-05-17,9,1,10,5.428571428571429,3.5714285714285716,9.0,10.666666666666666,-0.6666666666666661
2011-05-18,7,1,8,5.714285714285714,3.142857142857143,8.857142857142858,10.466666666666667,-2.466666666666667
2011-05-19,5,2,7,5.857142857142857,2.7142857142857144,8.571428571428571,10.233333333333333,-3.2333333333333325
2011-05-20,3,3,6,5.714285714285714,2.4285714285714284,8.142857142857142,9.966666666666667,-3.966666666666667
2011-05-23,3,6,9,5.714285714285714,2.5714285714285716,8.285714285714286,9.766666666666667,-0.7666666666666675
2011-05-24,2,6,8,5.428571428571429,2.857142857142857,8.285714285714286,9.733333333333333,-1.7333333333333325
2011-05-25,3,6,9,4.571428571428571,3.5714285714285716,8.142857142857142,9.7,-0.6999999999999993
2011-05-26,4,5,9,3.857142857142857,4.142857142857143,8.0,9.6,-0.5999999999999996
2011-05-27,4,5,9,3.4285714285714284,4.714285714285714,8.142857142857142,9.533333333333333,-0.5333333333333332
2011-05-31,2,10,12,3.0,5.857142857142857,8.857142857142858,9.5,2.5
2011-06-01,2,9,11,2.857142857142857,6.714285714285714,9.571428571428571,9.466666666666667,1.5333333333333332
2011-06-02,2,7,9,2.7142857142857144,6.857142857142857,9.571428571428571,9.333333333333334,-0.3333333333333339
2011-06-03,3,7,10,2.857142857142857,7.0,9.857142857142858,9.233333333333333,0.7666666666666675
2011-06-06,1,9,10,2.5714285714285716,7.428571428571429,10.0,9.133333333333333,0.8666666666666671
2011-06-07,1,10,11,2.142857142857143,8.142857142857142,10.285714285714286,9.2,1.8000000000000007
2011-06-08,1,11,12,1.7142857142857142,9.0,10.714285714285714,9.333333333333334,2.666666666666666
2011-06-09,1,10,11,1.5714285714285714,9.0,10.571428571428571,9.4,1.5999999999999996
2011-06-10,2,9,11,1.5714285714285714,9.0,10.571428571428571,9.466666666666667,1.5333333333333332
2011-06-13,1,6,7,1.4285714285714286,8.857142857142858,10.285714285714286,9.4,-2.4000000000000004
2011-06-14,2,7,9,1.2857142857142858,8.857142857142858,10.142857142857142,9.333333333333334,-0.3333333333333339
2011-06-15,1,7,8,1.2857142857142858,8.571428571428571,9.857142857142858,9.266666666666667,-1.2666666666666675
2011-06-16,1,7,8,1.2857142857142858,8.142857142857142,9.428571428571429,9.166666666666666,-1.166666666666666
2011-06-17,1,8,9,1.2857142857142858,7.714285714285714,9.0,9.133333333333333,-0.13333333333333286
2011-06-20,1,9,10,1.2857142857142858,7.571428571428571,8.857142857142858,9.2,0.8000000000000007
2011-06-21,0,11,11,1.0,7.857142857142857,8.857142857142858,9.266666666666667,1.7333333333333325
2011-06-22,0,10,10,0.8571428571428571,8.428571428571429,9.285714285714286,9.3,0.6999999999999993
2011-06-23,1,9,10,0.7142857142857143,8.714285714285714,9.428571428571429,9.333333333333334,0.6666666666666661
2011-06-24,1,8,9,0.7142857142857143,8.857142857142858,9.571428571428571,9.366666666666667,-0.36666666666666714
2011-06-27,0,10,10,0.5714285714285714,9.285714285714286,9.857142857142858,9.433333333333334,0.5666666666666664
2011-06-28,0,10,10,0.42857142857142855,9.571428571428571,10.0,9.433333333333334,0.5666666666666664
2011-06-29,0,9,9,0.2857142857142857,9.571428571428571,9.857142857142858,9.4,-0.40000000000000036
2011-06-30,0,9,9,0.2857142857142857,9.285714285714286,9.571428571428571,9.433333333333334,-0.43333333333333357
2011-07-01,0,10,10,0.2857142857142857,9.285714285714286,9.571428571428571,9.533333333333333,0.4666666666666668
2011-07-05,0,12,12,0.14285714285714285,9.714285714285714,9.857142857142858,9.733333333333333,2.2666666666666675
2011-07-06,0,13,13,0.0,10.428571428571429,10.428571428571429,9.866666666666667,3.133333333333333
2011-07-07,0,12,12,0.0,10.714285714285714,10.714285714285714,10.0,2.0
2011-07-08,0,12,12,0.0,11.0,11.0,10.1,1.9000000000000004
2011-07-11,0,13,13,0.0,11.571428571428571,11.571428571428571,10.233333333333333,2.7666666666666675
2011-07-12,0,14,14,0.0,12.285714285714286,12.285714285714286,10.4,3.5999999999999996
2011-07-13,0,12,12,0.0,12.571428571428571,12.571428571428571,10.4,1.5999999999999996
2011-07-14,0,9,9,0.0,12.142857142857142,12.142857142857142,10.333333333333334,-1.333333333333334
2011-07-15,0,9,9,0.0,11.571428571428571,11.571428571428571,10.333333333333334,-1.333333333333334
2011-07-18,0,14,14,0.0,11.857142857142858,11.857142857142858,10.466666666666667,3.533333333333333
2011-07-19,0,15,15,0.0,12.285714285714286,12.285714285714286,10.633333333333333,4.366666666666667
2011-07-20,0,15,15,0.0,12.571428571428571,12.571428571428571,10.766666666666667,4.2333333333333325
2011-07-21,0,16,16,0.0,12.857142857142858,12.857142857142858,10.9,5.1
2011-07-22,0,17,17,0.0,13.571428571428571,13.571428571428571,11.1,5.9
2011-07-25,0,13,13,0.0,14.142857142857142,14.142857142857142,11.166666666666666,1.833333333333334
2011-07-26,0,13,13,0.0,14.714285714285714,14.714285714285714,11.366666666666667,1.6333333333333329
2011-07-27,0,12,12,0.0,14.428571428571429,14.428571428571429,11.466666666666667,0.5333333333333332
2011-07-28,0,13,13,0.0,14.142857142857142,14.142857142857142,11.633333333333333,1.3666666666666671
2011-07-29,0,14,14,0.0,14.0,14.0,11.833333333333334,2.166666666666666
2011-08-01,0,15,15,0.0,13.857142857142858,13.857142857142858,12.033333333333333,2.966666666666667
2011-08-02,0,15,15,0.0,13.571428571428571,13.571428571428571,12.2,2.8000000000000007
2011-08-03,0,14,14,0.0,13.714285714285714,13.714285714285714,12.3,1.6999999999999993
2011-08-04,0,13,13,0.0,13.714285714285714,13.714285714285714,12.4,0.5999999999999996
2011-08-05,0,13,13,0.0,13.857142857142858,13.857142857142858,12.5,0.5
2011-08-08,0,13,13,0.0,13.857142857142858,13.857142857142858,12.633333333333333,0.36666666666666714
2011-08-09,0,12,12,0.0,13.571428571428571,13.571428571428571,12.7,-0.6999999999999993
2011-08-10,0,10,10,0.0,12.857142857142858,12.857142857142858,12.7,-2.6999999999999993
2011-08-11,0,9,9,0.0,12.0,12.0,12.7,-3.6999999999999993
2011-08-12,0,9,9,0.0,11.285714285714286,11.285714285714286,12.7,-3.6999999999999993
2011-08-15,0,9,9,0.0,10.714285714285714,10.714285714285714,12.666666666666666,-3.666666666666666
2011-08-16,0,9,9,0.0,10.142857142857142,10.142857142857142,12.566666666666666,-3.5666666666666664
2011-08-17,0,10,10,0.0,9.714285714285714,9.714285714285714,12.466666666666667,-2.466666666666667
2011-08-18,0,11,11,0.0,9.571428571428571,9.571428571428571,12.433333333333334,-1.4333333333333336
2011-08-19,0,11,11,0.0,9.714285714285714,9.714285714285714,12.4,-1.4000000000000004
2011-08-22,0,10,10,0.0,9.857142857142858,9.857142857142858,12.3,-2.3000000000000007
2011-08-23,0,10,10,0.0,10.0,10.0,12.166666666666666,-2.166666666666666
2011-08-24,0,11,11,0.0,10.285714285714286,10.285714285714286,12.133333333333333,-1.1333333333333329
